day,subscriber_ecid,data_usage_volume
(n+2)15,-06FoayTOXJ8-,0.10131490230560303
(n+2)16,-06FoayTOXJ8-,0.36702585220336914
(n+2)17,-06FoayTOXJ8-,-0.01194000244140625
(n+2)18,-06FoayTOXJ8-,0.19952404499053955
(n+2)19,-06FoayTOXJ8-,0.4067261219024658
(n+2)20,-06FoayTOXJ8-,0.4333263635635376
(n+2)21,-06FoayTOXJ8-,-0.11853635311126709
(n+2)15,-A-7LJ6WUTKfm,0.15700912475585938
(n+2)16,-A-7LJ6WUTKfm,0.13513469696044922
(n+2)17,-A-7LJ6WUTKfm,0.1132955551147461
(n+2)18,-A-7LJ6WUTKfm,0.09263229370117188
(n+2)19,-A-7LJ6WUTKfm,0.0737529993057251
(n+2)20,-A-7LJ6WUTKfm,0.05696594715118408
(n+2)21,-A-7LJ6WUTKfm,0.0423581600189209
(n+2)15,-Ajqu-Pi5VJde,-0.17989635467529297
(n+2)16,-Ajqu-Pi5VJde,-0.1856236457824707
(n+2)17,-Ajqu-Pi5VJde,-0.1761242151260376
(n+2)18,-Ajqu-Pi5VJde,0.014264941215515137
(n+2)19,-Ajqu-Pi5VJde,-0.13870644569396973
(n+2)20,-Ajqu-Pi5VJde,-0.18083977699279785
(n+2)21,-Ajqu-Pi5VJde,0.03818356990814209
(n+2)15,-DgEYYT0gqMqr,0.04776787757873535
(n+2)16,-DgEYYT0gqMqr,-0.05023789405822754
(n+2)17,-DgEYYT0gqMqr,-0.17944037914276123
(n+2)18,-DgEYYT0gqMqr,-0.11164712905883789
(n+2)19,-DgEYYT0gqMqr,-0.15145492553710938
(n+2)20,-DgEYYT0gqMqr,0.06626498699188232
(n+2)21,-DgEYYT0gqMqr,-0.06641483306884766
(n+2)15,-Ej3Gtwwcsf46,-0.17187654972076416
(n+2)16,-Ej3Gtwwcsf46,-0.15299856662750244
(n+2)17,-Ej3Gtwwcsf46,-0.15896892547607422
(n+2)18,-Ej3Gtwwcsf46,-0.13884568214416504
(n+2)19,-Ej3Gtwwcsf46,-0.13131558895111084
(n+2)20,-Ej3Gtwwcsf46,-0.15242934226989746
(n+2)21,-Ej3Gtwwcsf46,0.015814542770385742
(n+2)15,-G-uASnKNsNDL,0.1030740737915039
(n+2)16,-G-uASnKNsNDL,0.5324836373329163
(n+2)17,-G-uASnKNsNDL,0.30757784843444824
(n+2)18,-G-uASnKNsNDL,0.14662301540374756
(n+2)19,-G-uASnKNsNDL,0.15777409076690674
(n+2)20,-G-uASnKNsNDL,0.05930900573730469
(n+2)21,-G-uASnKNsNDL,0.04985463619232178
(n+2)15,-In6IG8Z3Ts6f,1.3444145917892456
(n+2)16,-In6IG8Z3Ts6f,1.399119257926941
(n+2)17,-In6IG8Z3Ts6f,1.112999677658081
(n+2)18,-In6IG8Z3Ts6f,1.6060845851898193
(n+2)19,-In6IG8Z3Ts6f,2.652378559112549
(n+2)20,-In6IG8Z3Ts6f,2.6636605262756348
(n+2)21,-In6IG8Z3Ts6f,2.1639859676361084
(n+2)15,-K5n1Rm62Hbpx,-0.14687323570251465
(n+2)16,-K5n1Rm62Hbpx,0.13371431827545166
(n+2)17,-K5n1Rm62Hbpx,-0.10948669910430908
(n+2)18,-K5n1Rm62Hbpx,0.21271395683288574
(n+2)19,-K5n1Rm62Hbpx,0.30856871604919434
(n+2)20,-K5n1Rm62Hbpx,0.3310661315917969
(n+2)21,-K5n1Rm62Hbpx,0.4729843735694885
(n+2)15,-KmyI86h1R9bQ,0.604107677936554
(n+2)16,-KmyI86h1R9bQ,0.599297285079956
(n+2)17,-KmyI86h1R9bQ,0.5871466398239136
(n+2)18,-KmyI86h1R9bQ,0.6050028800964355
(n+2)19,-KmyI86h1R9bQ,0.5834193229675293
(n+2)20,-KmyI86h1R9bQ,0.5970959663391113
(n+2)21,-KmyI86h1R9bQ,0.5750762820243835
(n+2)15,-OgQJDuZ2cIdB,1.137589693069458
(n+2)16,-OgQJDuZ2cIdB,1.0996108055114746
(n+2)17,-OgQJDuZ2cIdB,1.105985164642334
(n+2)18,-OgQJDuZ2cIdB,1.1088656187057495
(n+2)19,-OgQJDuZ2cIdB,1.1316404342651367
(n+2)20,-OgQJDuZ2cIdB,1.125697374343872
(n+2)21,-OgQJDuZ2cIdB,1.108518123626709
(n+2)15,-QXHomYaJxYXi,3.8066506385803223
(n+2)16,-QXHomYaJxYXi,5.96141242980957
(n+2)17,-QXHomYaJxYXi,9.95691204071045
(n+2)18,-QXHomYaJxYXi,14.167810440063477
(n+2)19,-QXHomYaJxYXi,16.44515037536621
(n+2)20,-QXHomYaJxYXi,16.89988899230957
(n+2)21,-QXHomYaJxYXi,17.651063919067383
(n+2)15,-bPxbPMMP56D0,0.2114250659942627
(n+2)16,-bPxbPMMP56D0,0.23305082321166992
(n+2)17,-bPxbPMMP56D0,0.2352306842803955
(n+2)18,-bPxbPMMP56D0,0.37534844875335693
(n+2)19,-bPxbPMMP56D0,-0.03419971466064453
(n+2)20,-bPxbPMMP56D0,0.15293431282043457
(n+2)21,-bPxbPMMP56D0,-0.21743249893188477
(n+2)15,-r1I_1VjtSvZL,0.18382585048675537
(n+2)16,-r1I_1VjtSvZL,0.15608978271484375
(n+2)17,-r1I_1VjtSvZL,0.10089552402496338
(n+2)18,-r1I_1VjtSvZL,0.16368985176086426
(n+2)19,-r1I_1VjtSvZL,0.23081767559051514
(n+2)20,-r1I_1VjtSvZL,0.2611883878707886
(n+2)21,-r1I_1VjtSvZL,0.2793598175048828
(n+2)15,-tL3HaNlpu-TE,1.405800461769104
(n+2)16,-tL3HaNlpu-TE,1.1866281032562256
(n+2)17,-tL3HaNlpu-TE,1.119635820388794
(n+2)18,-tL3HaNlpu-TE,1.1094623804092407
(n+2)19,-tL3HaNlpu-TE,1.156814455986023
(n+2)20,-tL3HaNlpu-TE,1.2059231996536255
(n+2)21,-tL3HaNlpu-TE,1.1989834308624268
(n+2)15,-uw3FokEwcN86,0.5423578023910522
(n+2)16,-uw3FokEwcN86,0.5486968755722046
(n+2)17,-uw3FokEwcN86,0.5559965372085571
(n+2)18,-uw3FokEwcN86,0.5662626624107361
(n+2)19,-uw3FokEwcN86,0.555936872959137
(n+2)20,-uw3FokEwcN86,0.5943989753723145
(n+2)21,-uw3FokEwcN86,0.6608427166938782
(n+2)15,-wi6IABUFT0YE,1.1608362197875977
(n+2)16,-wi6IABUFT0YE,1.1920645236968994
(n+2)17,-wi6IABUFT0YE,1.2292367219924927
(n+2)18,-wi6IABUFT0YE,1.2711448669433594
(n+2)19,-wi6IABUFT0YE,1.3118287324905396
(n+2)20,-wi6IABUFT0YE,1.3513649702072144
(n+2)21,-wi6IABUFT0YE,1.3923436403274536
(n+2)15,-xvLjYdAhpdTw,-0.06287539005279541
(n+2)16,-xvLjYdAhpdTw,-0.10473060607910156
(n+2)17,-xvLjYdAhpdTw,-0.1061471700668335
(n+2)18,-xvLjYdAhpdTw,-0.10593581199645996
(n+2)19,-xvLjYdAhpdTw,-0.10127472877502441
(n+2)20,-xvLjYdAhpdTw,-0.09525156021118164
(n+2)21,-xvLjYdAhpdTw,-0.08954751491546631
(n+2)15,05FcuSRHsq_Ps,0.05445563793182373
(n+2)16,05FcuSRHsq_Ps,-0.0016791820526123047
(n+2)17,05FcuSRHsq_Ps,-0.04597437381744385
(n+2)18,05FcuSRHsq_Ps,-0.05891919136047363
(n+2)19,05FcuSRHsq_Ps,-0.06318867206573486
(n+2)20,05FcuSRHsq_Ps,-0.06433331966400146
(n+2)21,05FcuSRHsq_Ps,-0.06368410587310791
(n+2)15,07VNhYUvV_r-R,0.5265985727310181
(n+2)16,07VNhYUvV_r-R,0.4287891983985901
(n+2)17,07VNhYUvV_r-R,0.47967982292175293
(n+2)18,07VNhYUvV_r-R,0.49579161405563354
